                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0262,                 8.8238,                 2.1271,                0.12947,                  0.125,                0.12027,                0.08348,                 2.3985,                   22.2,                 1.8051,              0.0004085,              0.0004085,              0.0004085
                      2,                 2.0066,                 4.0424,                 1.8606,                0.86037,                 0.1375,                0.12526,                0.03066,                 2.7706,                 5.9188,                 2.4358,             0.00082244,             0.00082244,             0.00082244
                      3,                 2.3165,                 3.5233,                 2.0842,                0.00895,                0.13865,                0.00737,                0.00316,                 2.9903,                 31.854,                 2.2196,              0.0012336,              0.0012336,              0.0012336
                      4,                 2.5387,                 3.5055,                 2.2915,                0.00306,                  0.125,                0.00278,                0.00093,                 3.5609,                    inf,                 8.8649,              0.0012376,              0.0012376,              0.0012376
                      5,                 2.3829,                 2.9481,                 2.1355,                0.00263,                0.06592,                0.00129,                 0.0007,                 2.7744,                 563.91,                 2.3961,              0.0012335,              0.0012335,              0.0012335
                      6,                 2.2895,                 2.6781,                 2.0157,                0.36535,                  0.025,                0.02785,                0.02179,                 2.7881,                 359.64,                 2.1354,              0.0012294,              0.0012294,              0.0012294
                      7,                 2.2795,                  2.685,                 1.9831,                0.00498,                0.18402,                0.00403,                0.00144,                 3.1637,                 10.453,                 2.3129,              0.0012252,              0.0012252,              0.0012252
                      8,                 2.1225,                 2.4072,                 1.9508,                0.03485,                0.15656,                0.02339,                0.01093,                 2.7801,                    inf,                 2.1524,              0.0012211,              0.0012211,              0.0012211
                      9,                 2.2265,                 2.3847,                 1.9285,                0.66459,                 0.0875,                0.12065,                0.06815,                 2.5005,                  10.54,                 1.8196,               0.001217,               0.001217,               0.001217
                     10,                 2.0983,                 2.2544,                 1.8665,                 0.9272,                 0.1625,                0.17754,                0.09888,                 2.3938,                 2.8314,                 1.7352,              0.0012129,              0.0012129,              0.0012129
                     11,                 2.0553,                 2.2102,                 1.8252,                0.94147,                0.12281,                0.15621,                 0.0851,                 2.4937,                 2.7047,                 1.8365,              0.0012087,              0.0012087,              0.0012087
                     12,                 2.0445,                 2.1824,                  1.763,                0.96808,                 0.1375,                0.18367,                0.10417,                  2.323,                 2.6335,                 1.8117,              0.0012046,              0.0012046,              0.0012046
                     13,                 1.9267,                 2.0164,                 1.7711,                0.92519,                 0.1125,                0.16621,                0.10471,                 2.2457,                 2.5854,                 1.6723,              0.0012005,              0.0012005,              0.0012005
                     14,                  1.907,                 2.0104,                 1.7069,                0.81831,                0.18921,                0.21089,                0.11393,                 2.3107,                   2.19,                    1.7,              0.0011964,              0.0011964,              0.0011964
                     15,                 1.9059,                  1.914,                 1.6862,                0.13856,                0.25314,                0.04276,                0.01575,                 2.2479,                  7.954,                 1.6428,              0.0011922,              0.0011922,              0.0011922
                     16,                 1.9172,                 1.9519,                 1.6598,                0.11882,                0.24481,                0.04175,                0.01893,                 2.1196,                 5.0881,                 1.5785,              0.0011881,              0.0011881,              0.0011881
                     17,                 1.7609,                 1.6845,                 1.6685,                0.76618,                0.22106,                0.23281,                0.14439,                 2.1115,                 1.9557,                 1.5662,               0.001184,               0.001184,               0.001184
                     18,                 1.7215,                  1.753,                 1.5672,                 0.9415,                 0.1875,                0.22605,                0.13589,                 2.0449,                 2.0386,                  1.491,              0.0011799,              0.0011799,              0.0011799
